,w,s,n,$L(\mu H)$,$R_L(\Omega)$
0,0.1,0.1,1.0,0.15068315381190855,0.0005866285714285714
1,0.1,0.1,2.0,0.5092030110603523,0.0005786742857142856
2,0.1,0.1,3.0,1.031047913298153,0.0005707199999999999
3,0.1,0.1,4.0,1.6926500169066312,0.0005627657142857142
4,0.1,0.1,5.0,2.476940830324291,0.0005548114285714286
5,0.1,0.1,6.0,3.3702140438857264,0.0005468571428571428
6,0.1,0.1,7.0,4.360857653096204,0.0005389028571428571
7,0.1,0.1,8.0,5.438710259463439,0.0005309485714285714
8,0.1,0.1,9.0,6.5946879204345334,0.0005229942857142857
9,0.1,0.1,10.0,7.820547780740399,0.0005150399999999999
10,0.1,0.1,11.0,9.108728443369879,0.0005070857142857142
11,0.1,0.1,12.0,10.452236788832712,0.0004991314285714286
12,0.1,0.1,13.0,11.844564589376972,0.0004911771428571428
13,0.1,0.1,14.0,13.279625135681204,0.0004832228571428571
14,0.1,0.1,15.0,14.75170381803128,0.0004752685714285714
15,0.1,0.1,16.0,16.255418744926725,0.0004673142857142857
16,0.1,0.1,17.0,17.785688773490055,0.00045935999999999997
17,0.1,0.1,18.0,19.337707137138292,0.0004514057142857142
18,0.1,0.1,19.0,20.90691938317639,0.00044345142857142854
19,0.1,0.1,20.0,22.489004685941644,0.00043549714285714286
20,0.1,0.1,21.0,24.079859843619968,0.0004275428571428571
21,0.1,0.1,22.0,25.675585437269422,0.0004195885714285714
22,0.1,0.1,23.0,27.272473752779973,0.0004116342857142857
23,0.1,0.1,24.0,28.86699815570386,0.00040367999999999996
24,0.1,0.1,25.0,30.45580367507298,0.0003957257142857142
25,0.1,0.1,26.0,32.03569860214205,0.00038777142857142853
26,0.1,0.1,27.0,33.60364694800306,0.00037981714285714285
27,0.1,0.1,28.0,35.15676163336196,0.0003718628571428571
28,0.1,0.1,29.0,36.69229830667936,0.00036390857142857137
29,0.1,0.1,30.0,38.20764970494621,0.0003559542857142857
30,0.1,0.1,31.0,39.70034048575161,0.000348
31,0.1,0.1,32.0,41.16802247085277,0.00034004571428571426
32,0.1,0.1,33.0,42.60847025081097,0.0003320914285714285
33,0.1,0.1,34.0,44.019577107886406,0.00032413714285714284
34,0.1,0.1,35.0,45.39935122065242,0.0003161828571428571
35,0.1,0.1,36.0,46.745912118971034,0.0003082285714285714
36,0.1,0.1,37.0,48.057487362282714,0.0003002742857142857
37,0.1,0.1,38.0,49.33240941777007,0.00029232
38,0.1,0.1,39.0,50.56911271798975,0.00028436571428571425
39,0.1,0.1,40.0,51.7661308801318,0.00027641142857142857
40,0.1,0.1,41.0,52.92209407124653,0.00026845714285714283
41,0.1,0.1,42.0,54.03572650563861,0.00026050285714285715
42,0.1,0.1,43.0,55.105844062222864,0.0002525485714285714
43,0.1,0.1,44.0,56.13135201100939,0.0002445942857142857
44,0.1,0.1,45.0,57.11124283907006,0.00023663999999999998
45,0.1,0.1,46.0,58.0445941673678,0.0002286857142857143
46,0.1,0.1,47.0,58.93056675072369,0.00022073142857142856
47,0.1,0.1,48.0,59.76840255397804,0.00021277714285714282
48,0.1,0.1,49.0,60.55742289808521,0.00020482285714285714
49,0.1,0.1,50.0,61.29702667048228,0.0001968685714285714
50,0.1,0.1,51.0,61.986688594600494,0.00018891428571428571
51,0.1,0.1,52.0,62.62595755385493,0.00018095999999999998
52,0.1,0.1,53.0,63.21445496586065,0.0001730057142857143
53,0.1,0.1,54.0,63.751873202990815,0.00016505142857142855
54,0.1,0.1,55.0,64.23797405571715,0.00015709714285714287
55,0.1,0.1,56.0,64.67258723546327,0.00014914285714285713
56,0.1,0.1,57.0,65.0556089139611,0.00014118857142857144
57,0.1,0.1,58.0,65.3870002963306,0.0001332342857142857
58,0.1,0.1,59.0,65.66678622531144,0.00012528000000000002
59,0.1,0.1,60.0,65.8950538142599,0.00011732571428571428
60,0.1,0.1,61.0,66.07195110669147,0.0001093714285714286
61,0.1,0.1,62.0,66.19768576029844,0.00010141714285714291
62,0.1,0.1,63.0,66.27252375350702,9.346285714285712e-05
63,0.1,0.1,64.0,66.29678811275875,8.550857142857143e-05
64,0.1,0.1,65.0,66.27085765880955,7.755428571428575e-05
65,0.1,0.1,66.0,66.19516577043753,6.959999999999996e-05
66,0.1,0.1,67.0,66.07019916403867,6.164571428571427e-05
67,0.1,0.1,68.0,65.89649668766708,5.369142857142859e-05
68,0.1,0.1,69.0,65.67464812814812,4.57371428571429e-05
69,0.1,0.1,70.0,65.40529302995499,3.778285714285711e-05
70,0.1,0.1,71.0,65.08911952459493,2.9828571428571426e-05
71,0.1,0.1,72.0,64.72686316930208,2.187428571428574e-05
72,0.1,0.1,73.0,64.3193057938761,1.3920000000000056e-05
73,0.1,0.1,74.0,63.8672743545454,5.9657142857142634e-06
74,0.1,0.2,1.0,0.1469895398156532,0.0005826514285714286
75,0.1,0.2,2.0,0.49268986328444686,0.0005707199999999999
76,0.1,0.2,3.0,0.989377599640767,0.0005587885714285714
77,0.1,0.2,4.0,1.6106048540643376,0.0005468571428571428
78,0.1,0.2,5.0,2.3367512500562952,0.0005349257142857142
79,0.1,0.2,6.0,3.1518393072853814,0.0005229942857142857
80,0.1,0.2,7.0,4.042231507646021,0.0005110628571428571
81,0.1,0.2,8.0,4.995960765124926,0.0004991314285714286
82,0.1,0.2,9.0,6.002337537403486,0.00048719999999999997
83,0.1,0.2,10.0,7.0516978356093425,0.0004752685714285714
84,0.1,0.2,11.0,8.13523085888574,0.0004633371428571428
85,0.1,0.2,12.0,9.244855169756182,0.0004514057142857142
86,0.1,0.2,13.0,10.373126227664343,0.0004394742857142857
87,0.1,0.2,14.0,11.513165132577019,0.00042754285714285706
88,0.1,0.2,15.0,12.658602260384288,0.00041561142857142854
89,0.1,0.2,16.0,13.803531682842344,0.00040367999999999996
90,0.1,0.2,17.0,14.94247360422164,0.0003917485714285714
91,0.1,0.2,18.0,16.070342891627323,0.00037981714285714285
92,0.1,0.2,19.0,17.18242232739701,0.0003678857142857142
93,0.1,0.2,20.0,18.274339582727865,0.0003559542857142857
94,0.1,0.2,21.0,19.34204716745125,0.0003440228571428571
95,0.1,0.2,22.0,20.381804791360345,0.0003320914285714285
96,0.1,0.2,23.0,21.39016370244329,0.00032015999999999994
97,0.1,0.2,24.0,22.363952662624673,0.00030822857142857136
98,0.1,0.2,25.0,23.30026529256979,0.00029629714285714284
99,0.1,0.2,26.0,24.196448570729302,0.00028436571428571425
100,0.1,0.2,27.0,25.050092312868294,0.0002724342857142857
101,0.1,0.2,28.0,25.85901949015155,0.0002605028571428571
102,0.1,0.2,29.0,26.621277268797975,0.0002485714285714285
103,0.1,0.2,30.0,27.33512867405824,0.00023663999999999998
104,0.1,0.2,31.0,27.999044797040302,0.0002247085714285714
105,0.1,0.2,32.0,28.611697475613283,0.00021277714285714282
106,0.1,0.2,33.0,29.171952390937896,0.00020084571428571424
107,0.1,0.2,34.0,29.67886252960942,0.00018891428571428566
108,0.1,0.2,35.0,30.131661968347224,0.00017698285714285713
109,0.1,0.2,36.0,30.529759943919167,0.00016505142857142855
110,0.1,0.2,37.0,30.87273517578272,0.00015311999999999997
111,0.1,0.2,38.0,31.16033041293723,0.0001411885714285714
112,0.1,0.2,39.0,31.392447179856067,0.0001292571428571428
113,0.1,0.2,40.0,31.569140699215954,0.00011732571428571428
114,0.1,0.2,41.0,31.690614971554062,0.00010539428571428565
115,0.1,0.2,42.0,31.75721799403296,9.346285714285712e-05
116,0.1,0.2,43.0,31.76943710223823,8.153142857142859e-05
117,0.1,0.2,44.0,31.72789442042013,6.959999999999996e-05
118,0.1,0.2,45.0,31.6333424068582,5.766857142857143e-05
119,0.1,0.2,46.0,31.48665948210636,4.5737142857142795e-05
120,0.1,0.2,47.0,31.28884572879298,3.380571428571427e-05
121,0.1,0.2,48.0,31.041018652425013,2.1874285714285633e-05
122,0.1,0.2,49.0,30.74440899329557,9.942857142857106e-06
123,0.1,0.30000000000000004,1.0,0.1446283351091545,0.0005786742857142856
124,0.1,0.30000000000000004,2.0,0.48081444253217653,0.0005627657142857142
125,0.1,0.30000000000000004,3.0,0.9574520986986378,0.0005468571428571428
126,0.1,0.30000000000000004,4.0,1.5452761918364846,0.0005309485714285714
127,0.1,0.30000000000000004,5.0,2.222283309280097,0.0005150399999999999
128,0.1,0.30000000000000004,6.0,2.970469204248739,0.0004991314285714286
129,0.1,0.30000000000000004,7.0,3.774476827969139,0.0004832228571428571
130,0.1,0.30000000000000004,8.0,4.62089268236406,0.0004673142857142857
131,0.1,0.30000000000000004,9.0,5.497828477413685,0.0004514057142857142
132,0.1,0.30000000000000004,10.0,6.394649164591588,0.00043549714285714286
133,0.1,0.30000000000000004,11.0,7.301784282308256,0.0004195885714285714
134,0.1,0.30000000000000004,12.0,8.210590444408433,0.00040367999999999996
135,0.1,0.30000000000000004,13.0,9.113247092495744,0.00038777142857142853
136,0.1,0.30000000000000004,14.0,10.00267489544953,0.0003718628571428571
137,0.1,0.30000000000000004,15.0,10.872470150532598,0.0003559542857142857
138,0.1,0.30000000000000004,16.0,11.716850842742286,0.00034004571428571426
139,0.1,0.30000000000000004,17.0,12.530611419593537,0.00032413714285714284
140,0.1,0.30000000000000004,18.0,13.309084225529054,0.0003082285714285714
141,0.1,0.30000000000000004,19.0,14.048106121492955,0.00029232
142,0.1,0.30000000000000004,20.0,14.743989207616314,0.00027641142857142857
143,0.1,0.30000000000000004,21.0,15.393494838730055,0.00026050285714285715
144,0.1,0.30000000000000004,22.0,15.993810314921307,0.0002445942857142857
145,0.1,0.30000000000000004,23.0,16.54252776844541,0.0002286857142857143
146,0.1,0.30000000000000004,24.0,17.037624870606987,0.00021277714285714282
147,0.1,0.30000000000000004,25.0,17.477447058661117,0.0001968685714285714
148,0.1,0.30000000000000004,26.0,17.86069104071197,0.00018095999999999998
149,0.1,0.30000000000000004,27.0,18.186389381040907,0.00016505142857142855
150,0.1,0.30000000000000004,28.0,18.45389600280116,0.00014914285714285713
151,0.1,0.30000000000000004,29.0,18.662872472066052,0.0001332342857142857
152,0.1,0.30000000000000004,30.0,18.813274948610896,0.00011732571428571428
153,0.1,0.30000000000000004,31.0,18.905341705853104,0.00010141714285714291
154,0.1,0.30000000000000004,32.0,18.939581136040516,8.550857142857143e-05
155,0.1,0.30000000000000004,33.0,18.91676016778256,6.959999999999996e-05
156,0.1,0.30000000000000004,34.0,18.837893031906795,5.369142857142859e-05
157,0.1,0.30000000000000004,35.0,18.70423031880541,3.778285714285711e-05
158,0.1,0.30000000000000004,36.0,18.517248276225633,2.187428571428574e-05
159,0.1,0.4,1.0,0.14280781518967617,0.0005746971428571428
160,0.1,0.4,2.0,0.4708566759399033,0.0005548114285714286
161,0.1,0.4,3.0,0.9296701400876549,0.0005349257142857142
162,0.1,0.4,4.0,1.4873087779914045,0.0005150399999999999
163,0.1,0.4,5.0,2.1196031197656446,0.0004951542857142857
164,0.1,0.4,6.0,2.8067975705997,0.0004752685714285714
165,0.1,0.4,7.0,3.5321410258824923,0.0004553828571428571
166,0.1,0.4,8.0,4.2811433755408075,0.00043549714285714286
167,0.1,0.4,9.0,5.041127240603935,0.00041561142857142854
168,0.1,0.4,10.0,5.800932265548259,0.00039572571428571427
169,0.1,0.4,11.0,6.5507068378904965,0.00037584
170,0.1,0.4,12.0,7.28175383006181,0.0003559542857142857
171,0.1,0.4,13.0,7.986411695964591,0.0003360685714285714
172,0.1,0.4,14.0,8.657959776868458,0.00031618285714285716
173,0.1,0.4,15.0,9.290540801596356,0.00029629714285714284
174,0.1,0.4,16.0,9.879095970370248,0.00027641142857142857
175,0.1,0.4,17.0,10.419309480210272,0.0002565257142857143
176,0.1,0.4,18.0,10.907560283418325,0.00023663999999999998
177,0.1,0.4,19.0,11.340879484804214,0.00021675428571428572
178,0.1,0.4,20.0,11.716912199239404,0.00019686857142857145
179,0.1,0.4,21.0,12.033882980016207,0.00017698285714285713
180,0.1,0.4,22.0,12.290564133593271,0.00015709714285714287
181,0.1,0.4,23.0,12.48624638471954,0.0001372114285714286
182,0.1,0.4,24.0,12.620711465094837,0.00011732571428571428
183,0.1,0.4,25.0,12.694206280149196,9.744000000000007e-05
184,0.1,0.4,26.0,12.70741836995025,7.755428571428575e-05
185,0.1,0.4,27.0,12.661452426991424,5.766857142857143e-05
186,0.1,0.4,28.0,12.557807669373862,3.778285714285722e-05
187,0.1,0.4,29.0,12.398355895283217,1.78971428571429e-05
188,0.1,0.5,1.0,0.14128253237572366,0.0005707199999999999
189,0.1,0.5,2.0,0.46196951379995477,0.0005468571428571428
190,0.1,0.5,3.0,0.9042790707641646,0.0005229942857142857
191,0.1,0.5,4.0,1.4337599987098657,0.0004991314285714286
192,0.1,0.5,5.0,2.024302538826323,0.0004752685714285714
193,0.1,0.5,6.0,2.654677286217831,0.0004514057142857142
194,0.1,0.5,7.0,3.3070613657968977,0.0004275428571428571
195,0.1,0.5,8.0,3.9662497803933205,0.00040368
196,0.1,0.5,9.0,4.619172769891206,0.00037981714285714285
197,0.1,0.5,10.0,5.254572386968274,0.0003559542857142857
198,0.1,0.5,11.0,5.862770905492113,0.0003320914285714286
199,0.1,0.5,12.0,6.435496308227324,0.0003082285714285714
