,L,L_str,R,R_str,V(out),W
0,0.1,0.1u,1.0,1.0,0.02192057,0.019917889
1,0.1,0.1u,1.1242100350620865,1.1242100350620865,0.01995893,0.018766437
2,0.1,0.1u,1.263848202934298,1.263848202934298,0.018143725,0.01721614
3,0.1,0.1u,1.4208308325339223,1.4208308325339223,0.016442692,0.01607164
4,0.1,0.1u,1.5973122800602544,1.5973122800602544,0.014915642,0.01567058
5,0.1,0.1u,1.7957144943716399,1.7957144943716399,0.01350483,0.014315238
6,0.1,0.1u,2.0187602546790386,2.0187602546790386,0.012232626,0.012596175
7,0.1,0.1u,2.269510536694669,2.269510536694669,0.011054018,0.012248954
8,0.1,0.1u,2.5514065200312888,2.5514065200312888,0.009979406,0.011255652
9,0.1,0.1u,2.868316813342011,2.868316813342011,0.009004263,0.0104264235
10,0.1,0.1u,3.2245905452963948,3.2245905452963948,0.008111631,0.00905716
11,0.1,0.1u,3.6251170499885332,3.6251170499885332,0.0073095113,0.008682419
12,0.1,0.1u,4.075392965871777,4.075392965871777,0.0066011883,0.007600084
13,0.1,0.1u,4.581597669054491,4.581597669054491,0.005931346,0.00735597
14,0.1,0.1u,5.150678076168124,5.150678076168124,0.005340102,0.006810157
15,0.1,0.1u,5.790443980602488,5.790443980602488,0.0048053702,0.0060650394
16,0.1,0.1u,6.50967523045817,6.50967523045817,0.004321422,0.0053456966
17,0.1,0.1u,7.318242219076176,7.318242219076176,0.0038900308,0.0052671954
18,0.1,0.1u,8.22724134170047,8.22724134170047,0.003495549,0.005024892
19,0.1,0.1u,9.249147277217336,9.249147277217336,0.0031394132,0.004552048
20,0.1,0.1u,10.3979841848149,10.3979841848149,0.0028202697,0.0040979134
21,0.1,0.1u,11.689518164985783,11.689518164985783,0.0025312535,0.0037671542
22,0.1,0.1u,13.141473626117568,13.141473626117568,0.0022727442,0.003378705
23,0.1,0.1u,14.773776525985111,14.773776525985111,0.0020411445,0.0030532172
24,0.1,0.1u,16.608827826277157,16.608827826277157,0.0018311652,0.002726782
25,0.1,0.1u,18.671810912919206,18.671810912919206,0.0016435537,0.002625674
26,0.1,0.1u,20.991037201085547,20.991037201085547,0.0014736783,0.0024288103
27,0.1,0.1u,23.59833466782195,23.59833466782195,0.001322319,0.002279088
28,0.1,0.1u,26.529484644318973,26.529484644318973,0.0011860526,0.00208071
29,0.1,0.1u,29.824712862168912,29.824712862168912,0.0010630835,0.0019366106
30,0.1,0.1u,33.52924149249558,33.52924149249558,0.0006503342,0.0018046772
