,L,L_str,R,R_str,V(out),W
0,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
1,2.823983870820283,2.823983870820283u,0.1291549665014884,0.1291549665014884,118.2733,0.77632284
2,2.921417397659185,2.921417397659185u,0.1,0.1,118.000145,-0.33463067
3,1.876533973000284,1.876533973000284u,0.1,0.1,93.60607,-0.3499807
4,1.6977068262453527,1.6977068262453527u,0.1,0.1,93.35674,-0.40553698
5,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
6,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
7,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
8,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
9,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
10,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
11,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
12,1.6977068262453527,1.6977068262453527u,0.1,0.1,93.35674,-0.40553698
13,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
14,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
15,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
16,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
17,1.6977068262453527,1.6977068262453527u,0.1,0.1,93.35674,-0.40553698
18,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
19,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
20,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
21,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
22,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
23,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
24,1.876533973000284,1.876533973000284u,0.1,0.1,93.60607,-0.3499807
25,1.6977068262453527,1.6977068262453527u,0.1,0.1,93.35674,-0.40553698
26,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
27,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
28,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
29,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
30,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
31,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
32,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
33,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
34,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
35,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
36,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
37,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
38,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
39,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
40,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
41,1.6977068262453527,1.6977068262453527u,0.1,0.1,93.35674,-0.40553698
42,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
43,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
44,1.6977068262453527,1.6977068262453527u,0.1,0.1,93.35674,-0.40553698
45,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
46,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
47,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
48,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
49,2.0019926757577884,2.0019926757577884u,0.1,0.1,93.13073,-0.5508376
