,L,L_str,R,R_str,V(out),W
0,0.1,0.1u,1.0,1.0,0.021245888,-0.000376872
1,0.1,0.1u,1.1242100350620865,1.1242100350620865,0.02135047,-0.00041600387
2,0.1,0.1u,1.263848202934298,1.263848202934298,0.021013573,-0.00039800463
3,0.1,0.1u,1.4208308325339223,1.4208308325339223,0.020839471,-0.00041329724
4,0.1,0.1u,1.5973122800602544,1.5973122800602544,0.020578947,-0.0003718833
5,0.1,0.1u,1.7957144943716399,1.7957144943716399,0.020550277,-0.00033842167
6,0.1,0.1u,2.0187602546790386,2.0187602546790386,0.020999607,-0.00024022818
7,0.1,0.1u,2.269510536694669,2.269510536694669,0.011825272,-0.00018458668
8,0.1,0.1u,2.5514065200312888,2.5514065200312888,0.020375235,-0.00028723365
9,0.1,0.1u,2.868316813342011,2.868316813342011,0.020024525,-0.0001428594
10,0.1,0.1u,3.2245905452963948,3.2245905452963948,0.018796578,-0.00019882615
11,0.1,0.1u,3.6251170499885332,3.6251170499885332,0.01901453,-8.608786e-05
12,0.1,0.1u,4.075392965871777,4.075392965871777,0.018342584,-0.00021772781
13,0.1,0.1u,4.581597669054491,4.581597669054491,0.01651893,-0.00019753285
14,0.1,0.1u,5.150678076168124,5.150678076168124,0.016828436,-0.00017136533
15,0.1,0.1u,5.790443980602488,5.790443980602488,0.015661951,-0.00013541299
16,0.1,0.1u,6.50967523045817,6.50967523045817,0.015806276,-6.797327e-05
17,0.1,0.1u,7.318242219076176,7.318242219076176,0.014448659,4.461495e-05
18,0.1,0.1u,8.22724134170047,8.22724134170047,0.013038838,4.6949435e-06
19,0.1,0.1u,9.249147277217336,9.249147277217336,0.011816535,7.570623e-05
20,0.1,0.1u,10.3979841848149,10.3979841848149,0.011356822,0.0001416423
21,0.1,0.1u,11.689518164985783,11.689518164985783,0.00999321,0.00020379669
22,0.1,0.1u,13.141473626117568,13.141473626117568,0.0075020213,0.00022353748
23,0.1,0.1u,14.773776525985111,14.773776525985111,0.007506936,0.00024894244
24,0.1,0.1u,16.608827826277157,16.608827826277157,0.007259769,0.00031736968
25,0.1,0.1u,18.671810912919206,18.671810912919206,0.006153068,0.0005533971
26,0.1,0.1u,20.991037201085547,20.991037201085547,0.0054655178,0.00040772036
27,0.1,0.1u,23.59833466782195,23.59833466782195,0.0047114785,0.00052777724
28,0.1,0.1u,26.529484644318973,26.529484644318973,0.0046067024,0.000526409
29,0.1,0.1u,29.824712862168912,29.824712862168912,0.0037578319,0.00054258713
30,0.1,0.1u,33.52924149249558,33.52924149249558,0.0035151881,0.0005284381
31,0.1,0.1u,37.69390975388362,37.69390975388362,0.003326943,0.00058879156
32,0.1,0.1u,42.37587160604063,42.37587160604063,0.003025714,0.000659698
33,0.1,0.1u,47.63938010401343,47.63938010401343,0.002735798,0.00068081164
34,0.1,0.1u,53.55666917706899,53.55666917706899,0.002256773,0.0008071927
35,0.1,0.1u,60.208944933361316,60.208944933361316,0.0019679212,0.0007501013
36,0.1,0.1u,67.68750009458535,67.68750009458535,0.0018125474,0.0007083854
37,0.1,0.1u,76.0949668545988,76.0949668545988,0.0015558276,0.00071203196
38,0.1,0.1u,85.54672535565685,85.54672535565685,0.0015076862,0.0007234631
39,0.1,0.1u,96.17248711152965,96.17248711152965,0.0013397245,0.00061034854
40,0.1,0.1u,108.11807510766077,108.11807510766077,0.0012153919,0.00061985216
41,0.1,0.1u,121.54742500762872,121.54742500762872,0.001185008,0.0005900465
42,0.1,0.1u,136.64483492953258,136.64483492953258,0.0011392963,0.000622979
43,0.1,0.1u,153.6174946671828,153.6174946671828,0.0012730951,0.0005863744
44,0.1,0.1u,172.6983290659436,172.6983290659436,0.0010519554,0.0005371447
45,0.1,0.1u,194.14919457438816,194.14919457438816,0.0012119659,0.000548564
46,0.1,0.1u,218.26447283974872,218.26447283974872,0.0011408678,0.0006012869
47,0.1,0.1u,245.37511066398193,245.37511066398193,0.0009985408,0.0005672024
48,0.1,0.1u,275.85316176291843,275.85316176291843,0.00062521634,0.00050222804
49,0.1,0.1u,310.1168926574779,310.1168926574779,0.00069835543,0.0004446281
50,0.1,0.1u,348.63652276780874,348.63652276780874,0.0006985186,0.00044247523
51,0.1,0.1u,391.94067748472213,391.94067748472213,0.00043736212,0.00037812957
52,0.1,0.1u,440.6236427773573,440.6236427773573,0.00027246814,0.00034777497
53,0.1,0.1u,495.3535208959175,495.3535208959175,0.00020297481,0.00032916706
54,0.1,0.1u,556.8813990945273,556.8813990945273,0.00016525015,0.00031125906
55,0.1,0.1u,626.0516572014822,626.0516572014822,0.0003230014,0.00029592676
56,0.1,0.1u,703.8135554931562,703.8135554931562,0.0003758646,0.00026352494
57,0.1,0.1u,791.2342618981327,791.2342618981327,0.0003774489,0.0002369062
58,0.1,0.1u,889.5134973108236,889.5134973108236,0.00023499127,0.00022071057
59,0.1,0.1u,1000.0,1000.0,0.00010589666,0.00019661806
60,0.11689518164985782,0.11689518164985782u,1.0,1.0,0.023056893,-9.7729535e-05
61,0.11689518164985782,0.11689518164985782u,1.1242100350620865,1.1242100350620865,0.022923173,-9.682693e-05
62,0.11689518164985782,0.11689518164985782u,1.263848202934298,1.263848202934298,0.022147601,-0.0001700658
63,0.11689518164985782,0.11689518164985782u,1.4208308325339223,1.4208308325339223,0.02183857,-0.00020955752
64,0.11689518164985782,0.11689518164985782u,1.5973122800602544,1.5973122800602544,0.021268893,-0.00021938447
65,0.11689518164985782,0.11689518164985782u,1.7957144943716399,1.7957144943716399,0.02080566,-0.0002493267
66,0.11689518164985782,0.11689518164985782u,2.0187602546790386,2.0187602546790386,0.021296417,-0.00020632354
67,0.11689518164985782,0.11689518164985782u,2.269510536694669,2.269510536694669,0.020346178,-0.00015420375
68,0.11689518164985782,0.11689518164985782u,2.5514065200312888,2.5514065200312888,0.02093296,-0.0001414062
69,0.11689518164985782,0.11689518164985782u,2.868316813342011,2.868316813342011,0.018744044,-0.00015651023
70,0.11689518164985782,0.11689518164985782u,3.2245905452963948,3.2245905452963948,0.020430293,-6.0721617e-05
71,0.11689518164985782,0.11689518164985782u,3.6251170499885332,3.6251170499885332,0.020026285,-0.00016174887
72,0.11689518164985782,0.11689518164985782u,4.075392965871777,4.075392965871777,0.018969323,-0.00012376293
73,0.11689518164985782,0.11689518164985782u,4.581597669054491,4.581597669054491,0.019082634,-9.8564655e-05
74,0.11689518164985782,0.11689518164985782u,5.150678076168124,5.150678076168124,0.018315662,-7.825615e-05
75,0.11689518164985782,0.11689518164985782u,5.790443980602488,5.790443980602488,0.017338086,-6.7338297e-06
76,0.11689518164985782,0.11689518164985782u,6.50967523045817,6.50967523045817,0.015249978,-0.00010501863
77,0.11689518164985782,0.11689518164985782u,7.318242219076176,7.318242219076176,0.015960358,4.0241783e-05
78,0.11689518164985782,0.11689518164985782u,8.22724134170047,8.22724134170047,0.014197053,4.9389088e-05
79,0.11689518164985782,0.11689518164985782u,9.249147277217336,9.249147277217336,0.014387308,3.6301375e-05
80,0.11689518164985782,0.11689518164985782u,10.3979841848149,10.3979841848149,0.0129610095,7.3914984e-05
81,0.11689518164985782,0.11689518164985782u,11.689518164985783,11.689518164985783,0.011256622,0.00023359455
82,0.11689518164985782,0.11689518164985782u,13.141473626117568,13.141473626117568,0.009758508,0.00021225339
83,0.11689518164985782,0.11689518164985782u,14.773776525985111,14.773776525985111,0.00836933,0.00027559008
84,0.11689518164985782,0.11689518164985782u,16.608827826277157,16.608827826277157,0.0077443793,0.00039514696
85,0.11689518164985782,0.11689518164985782u,18.671810912919206,18.671810912919206,0.0074157193,0.0004171299
86,0.11689518164985782,0.11689518164985782u,20.991037201085547,20.991037201085547,0.0060269088,0.00046063523
87,0.11689518164985782,0.11689518164985782u,23.59833466782195,23.59833466782195,0.0047358833,0.0003691198
88,0.11689518164985782,0.11689518164985782u,26.529484644318973,26.529484644318973,0.0048751887,0.00038925887
89,0.11689518164985782,0.11689518164985782u,29.824712862168912,29.824712862168912,0.0043949625,0.00047252217
90,0.11689518164985782,0.11689518164985782u,33.52924149249558,33.52924149249558,0.00382926,0.00064498093
91,0.11689518164985782,0.11689518164985782u,37.69390975388362,37.69390975388362,0.0036884926,0.00052142434
92,0.11689518164985782,0.11689518164985782u,42.37587160604063,42.37587160604063,0.003102442,0.0006468702
93,0.11689518164985782,0.11689518164985782u,47.63938010401343,47.63938010401343,0.0031121268,0.0007254704
94,0.11689518164985782,0.11689518164985782u,53.55666917706899,53.55666917706899,0.0023647917,0.00072951487
95,0.11689518164985782,0.11689518164985782u,60.208944933361316,60.208944933361316,0.0025920703,0.00071475207
96,0.11689518164985782,0.11689518164985782u,67.68750009458535,67.68750009458535,0.0023545537,0.0006861108
97,0.11689518164985782,0.11689518164985782u,76.0949668545988,76.0949668545988,0.0018773167,0.0006894535
98,0.11689518164985782,0.11689518164985782u,85.54672535565685,85.54672535565685,0.0018178131,0.0006440529
99,0.11689518164985782,0.11689518164985782u,96.17248711152965,96.17248711152965,0.0015880165,0.00061713817
100,0.11689518164985782,0.11689518164985782u,108.11807510766077,108.11807510766077,0.0014491172,0.00062775274
101,0.11689518164985782,0.11689518164985782u,121.54742500762872,121.54742500762872,0.0013778502,0.0006132873
102,0.11689518164985782,0.11689518164985782u,136.64483492953258,136.64483492953258,0.0012602748,0.00060936617
103,0.11689518164985782,0.11689518164985782u,153.6174946671828,153.6174946671828,0.0013029483,0.0005962778
104,0.11689518164985782,0.11689518164985782u,172.6983290659436,172.6983290659436,0.0010105508,0.0005755158
105,0.11689518164985782,0.11689518164985782u,194.14919457438816,194.14919457438816,0.0012409225,0.00054810283
106,0.11689518164985782,0.11689518164985782u,218.26447283974872,218.26447283974872,0.001088002,0.0005761772
107,0.11689518164985782,0.11689518164985782u,245.37511066398193,245.37511066398193,0.0009666525,0.0005397783
108,0.11689518164985782,0.11689518164985782u,275.85316176291843,275.85316176291843,0.00077189103,0.00049933325
109,0.11689518164985782,0.11689518164985782u,310.1168926574779,310.1168926574779,0.00072785077,0.0004598073
110,0.11689518164985782,0.11689518164985782u,348.63652276780874,348.63652276780874,0.00075498514,0.00043922485
111,0.11689518164985782,0.11689518164985782u,391.94067748472213,391.94067748472213,0.00048573274,0.00038380362
112,0.11689518164985782,0.11689518164985782u,440.6236427773573,440.6236427773573,0.00031187313,0.00036415647
113,0.11689518164985782,0.11689518164985782u,495.3535208959175,495.3535208959175,0.00028106014,0.0003283937
114,0.11689518164985782,0.11689518164985782u,556.8813990945273,556.8813990945273,0.00020748825,0.00030670263
115,0.11689518164985782,0.11689518164985782u,626.0516572014822,626.0516572014822,0.00042596454,0.00027603423
116,0.11689518164985782,0.11689518164985782u,703.8135554931562,703.8135554931562,0.0004557404,0.0002588829
117,0.11689518164985782,0.11689518164985782u,791.2342618981327,791.2342618981327,0.00042685648,0.00024175913
118,0.11689518164985782,0.11689518164985782u,889.5134973108236,889.5134973108236,0.000316701,0.00022112687
119,0.11689518164985782,0.11689518164985782u,1000.0,1000.0,0.00016493713,0.00019769125
120,0.13664483492953255,0.13664483492953255u,1.0,1.0,0.021777783,-0.00020067186
121,0.13664483492953255,0.13664483492953255u,1.1242100350620865,1.1242100350620865,0.021860696,-0.00016941775
122,0.13664483492953255,0.13664483492953255u,1.263848202934298,1.263848202934298,0.021808524,-0.00018047655
123,0.13664483492953255,0.13664483492953255u,1.4208308325339223,1.4208308325339223,0.022613045,-0.00016906964
124,0.13664483492953255,0.13664483492953255u,1.5973122800602544,1.5973122800602544,0.02242769,-0.00016718831
125,0.13664483492953255,0.13664483492953255u,1.7957144943716399,1.7957144943716399,0.022122853,-0.00026584248
126,0.13664483492953255,0.13664483492953255u,2.0187602546790386,2.0187602546790386,0.02225576,-0.00022116282
127,0.13664483492953255,0.13664483492953255u,2.269510536694669,2.269510536694669,0.021646636,-7.982813e-05
128,0.13664483492953255,0.13664483492953255u,2.5514065200312888,2.5514065200312888,0.02133546,-0.00013891648
129,0.13664483492953255,0.13664483492953255u,2.868316813342011,2.868316813342011,0.019590842,-0.00013132291
130,0.13664483492953255,0.13664483492953255u,3.2245905452963948,3.2245905452963948,0.019780658,-0.00010381311
131,0.13664483492953255,0.13664483492953255u,3.6251170499885332,3.6251170499885332,0.020763792,-0.00018395243
132,0.13664483492953255,0.13664483492953255u,4.075392965871777,4.075392965871777,0.019662563,-9.770145e-05
133,0.13664483492953255,0.13664483492953255u,4.581597669054491,4.581597669054491,0.01923586,-9.752788e-05
134,0.13664483492953255,0.13664483492953255u,5.150678076168124,5.150678076168124,0.018101592,-0.00013533932
135,0.13664483492953255,0.13664483492953255u,5.790443980602488,5.790443980602488,0.017012643,-0.00019515245
136,0.13664483492953255,0.13664483492953255u,6.50967523045817,6.50967523045817,0.017044691,-0.00017828034
137,0.13664483492953255,0.13664483492953255u,7.318242219076176,7.318242219076176,0.016199142,-4.137503e-05
138,0.13664483492953255,0.13664483492953255u,8.22724134170047,8.22724134170047,0.014941302,4.2323667e-05
139,0.13664483492953255,0.13664483492953255u,9.249147277217336,9.249147277217336,0.01493181,-1.710927e-05
140,0.13664483492953255,0.13664483492953255u,10.3979841848149,10.3979841848149,0.0137979,0.000138888
141,0.13664483492953255,0.13664483492953255u,11.689518164985783,11.689518164985783,0.013150826,0.00010392908
142,0.13664483492953255,0.13664483492953255u,13.141473626117568,13.141473626117568,0.011303014,6.566292e-05
143,0.13664483492953255,0.13664483492953255u,14.773776525985111,14.773776525985111,0.0107398275,0.00026244263
144,0.13664483492953255,0.13664483492953255u,16.608827826277157,16.608827826277157,0.0089020375,0.00034638043
145,0.13664483492953255,0.13664483492953255u,18.671810912919206,18.671810912919206,0.007910138,0.00026547158
146,0.13664483492953255,0.13664483492953255u,20.991037201085547,20.991037201085547,0.00756225,0.00035204238
147,0.13664483492953255,0.13664483492953255u,23.59833466782195,23.59833466782195,0.0066155232,0.00049624126
148,0.13664483492953255,0.13664483492953255u,26.529484644318973,26.529484644318973,0.006210367,0.0004046488
149,0.13664483492953255,0.13664483492953255u,29.824712862168912,29.824712862168912,0.004895904,0.00047212673
150,0.13664483492953255,0.13664483492953255u,33.52924149249558,33.52924149249558,0.0049598366,0.00045812927
151,0.13664483492953255,0.13664483492953255u,37.69390975388362,37.69390975388362,0.0040283473,0.0005357167
152,0.13664483492953255,0.13664483492953255u,42.37587160604063,42.37587160604063,0.0036853398,0.0006061477
153,0.13664483492953255,0.13664483492953255u,47.63938010401343,47.63938010401343,0.0034322315,0.00065135123
154,0.13664483492953255,0.13664483492953255u,53.55666917706899,53.55666917706899,0.0025382207,0.000664791
155,0.13664483492953255,0.13664483492953255u,60.208944933361316,60.208944933361316,0.0027655533,0.0006862717
156,0.13664483492953255,0.13664483492953255u,67.68750009458535,67.68750009458535,0.0024103215,0.0006910477
157,0.13664483492953255,0.13664483492953255u,76.0949668545988,76.0949668545988,0.0024573256,0.00063712976
